Tiempo [Seg.],Corriente [A],Tensión en el capacitor [V],Tensión de entrada [V],Tensión de salida [V]
0.00096,0,0,0,0
0.00097,0,0,0,0
0.00098,0,0,0,0
0.00099,0,0,0,0
0.001,0,0,0,0
0.00101,0,0,0,0
0.00102,0,0,0,0
0.00103,0,0,0,0
0.00104,0,0,0,0
0.00105,0,0,0,0
0.00106,0,0,0,0
0.00107,0,0,0,0
0.00108,0,0,0,0
0.00109,0,0,0,0
0.0011,0,0,0,0
0.00111,0,0,0,0
0.00112,0,0,0,0
0.00113,0,0,0,0
0.00114,0,0,0,0
0.00115,0,0,0,0
0.00116,0,0,0,0
0.00117,0,0,0,0
0.00118,0,0,0,0
0.00119,0,0,0,0
0.0012,0,0,0,0
0.00121,0,0,0,0
0.00122,0,0,0,0
0.00123,0,0,0,0
0.00124,0,0,0,0
0.00125,0,0,0,0
0.00126,0,0,0,0
0.00127,0,0,0,0
0.00128,0,0,0,0
0.00129,0,0,0,0
0.0013,0,0,0,0
0.00131,0,0,0,0
0.00132,0,0,0,0
0.00133,0,0,0,0
0.00134,0,0,0,0
0.00135,0,0,0,0
0.00136,0,0,0,0
0.00137,0,0,0,0
0.00138,0,0,0,0
0.00139,0,0,0,0
0.0014,0,0,0,0
0.00141,0,0,0,0
0.00142,0,0,0,0
0.00143,0,0,0,0
0.00144,0,0,0,0
0.00145,0,0,0,0
0.00146,0,0,0,0
0.00147,0,0,0,0
0.00148,0,0,0,0
0.00149,0,0,0,0
0.0015,0,0,0,0
0.00151,0,0,0,0
0.00152,0,0,0,0
0.00153,0,0,0,0
0.00154,0,0,0,0
0.00155,0,0,0,0
0.00156,0,0,0,0
0.00157,0,0,0,0
0.00158,0,0,0,0
0.00159,0,0,0,0
0.0016,0,0,0,0
0.00161,0,0,0,0
0.00162,0,0,0,0
0.00163,0,0,0,0
0.00164,0,0,0,0
0.00165,0,0,0,0
0.00166,0,0,0,0
0.00167,0,0,0,0
0.00168,0,0,0,0
0.00169,0,0,0,0
0.0017,0,0,0,0
0.00171,0,0,0,0
0.00172,0,0,0,0
0.00173,0,0,0,0
0.00174,0,0,0,0
0.00175,0,0,0,0
0.00176,0,0,0,0
0.00177,0,0,0,0
0.00178,0,0,0,0
0.00179,0,0,0,0
0.0018,0,0,0,0
0.00181,0,0,0,0
0.00182,0,0,0,0
0.00183,0,0,0,0
0.00184,0,0,0,0
0.00185,0,0,0,0
0.00186,0,0,0,0
0.00187,0,0,0,0
0.00188,0,0,0,0
0.00189,0,0,0,0
0.0019,0,0,0,0
0.00191,0,0,0,0
0.00192,0,0,0,0
0.00193,0,0,0,0
0.00194,0,0,0,0
0.00195,0,0,0,0
0.00196,0,0,0,0
0.00197,0,0,0,0
0.00198,0,0,0,0
0.00199,0,0,0,0
0.002,0,0,0,0
0.00201,0,0,0,0
0.00202,0,0,0,0
0.00203,0,0,0,0
0.00204,0,0,0,0
0.00205,0,0,0,0
0.00206,0,0,0,0
0.00207,0,0,0,0
0.00208,0,0,0,0
0.00209,0,0,0,0
0.0021,0,0,0,0
0.00211,0,0,0,0
0.00212,0,0,0,0
0.00213,0,0,0,0
0.00214,0,0,0,0
0.00215,0,0,0,0
0.00216,0,0,0,0
0.00217,0,0,0,0
0.00218,0,0,0,0
0.00219,0,0,0,0
0.0022,0,0,0,0
0.00221,0,0,0,0
0.00222,0,0,0,0
0.00223,0,0,0,0
0.00224,0,0,0,0
0.00225,0,0,0,0
0.00226,0,0,0,0
0.00227,0,0,0,0
0.00228,0,0,0,0
0.00229,0,0,0,0
0.0023,0,0,0,0
0.00231,0,0,0,0
0.00232,0,0,0,0
0.00233,0,0,0,0
0.00234,0,0,0,0
0.00235,0,0,0,0
0.00236,0,0,0,0
0.00237,0,0,0,0
0.00238,0,0,0,0
0.00239,0,0,0,0
0.0024,0,0,0,0
0.00241,0,0,0,0
0.00242,0,0,0,0
0.00243,0,0,0,0
0.00244,0,0,0,0
0.00245,0,0,0,0
0.00246,0,0,0,0
0.00247,0,0,0,0
0.00248,0,0,0,0
0.00249,0,0,0,0
0.0025,0,0,0,0
0.00251,0,0,0,0
0.00252,0,0,0,0
0.00253,0,0,0,0
0.00254,0,0,0,0
0.00255,0,0,0,0
0.00256,0,0,0,0
0.00257,0,0,0,0
0.00258,0,0,0,0
0.00259,0,0,0,0
0.0026,0,0,0,0
0.00261,0,0,0,0
0.00262,0,0,0,0
0.00263,0,0,0,0
0.00264,0,0,0,0
0.00265,0,0,0,0
0.00266,0,0,0,0
0.00267,0,0,0,0
0.00268,0,0,0,0
0.00269,0,0,0,0
0.0027,0,0,0,0
0.00271,0,0,0,0
0.00272,0,0,0,0
0.00273,0,0,0,0
0.00274,0,0,0,0
0.00275,0,0,0,0
0.00276,0,0,0,0
0.00277,0,0,0,0
0.00278,0,0,0,0
0.00279,0,0,0,0
0.0028,0,0,0,0
0.00281,0,0,0,0
0.00282,0,0,0,0
0.00283,0,0,0,0
0.00284,0,0,0,0
0.00285,0,0,0,0
0.00286,0,0,0,0
0.00287,0,0,0,0
0.00288,0,0,0,0
0.00289,0,0,0,0
0.0029,0,0,0,0
0.00291,0,0,0,0
0.00292,0,0,0,0
0.00293,0,0,0,0
0.00294,0,0,0,0
0.00295,0,0,0,0
0.00296,0,0,0,0
0.00297,0,0,0,0
0.00298,0,0,0,0
0.00299,0,0,0,0
0.003,0,0,0,0
0.00301,0,0,0,0
0.00302,0,0,0,0
0.00303,0,0,0,0
0.00304,0,0,0,0
0.00305,0,0,0,0
0.00306,0,0,0,0
0.00307,0,0,0,0
0.00308,0,0,0,0
0.00309,0,0,0,0
0.0031,0,0,0,0
0.00311,0,0,0,0
0.00312,0,0,0,0
0.00313,0,0,0,0
0.00314,0,0,0,0
0.00315,0,0,0,0
0.00316,0,0,0,0
0.00317,0,0,0,0
0.00318,0,0,0,0
0.00319,0,0,0,0
0.0032,0,0,0,0
0.00321,0,0,0,0
0.00322,0,0,0,0
0.00323,0,0,0,0
0.00324,0,0,0,0
0.00325,0,0,0,0
0.00326,0,0,0,0
0.00327,0,0,0,0
0.00328,0,0,0,0
0.00329,0,0,0,0
0.0033,0,0,0,0
0.00331,0,0,0,0
0.00332,0,0,0,0
0.00333,0,0,0,0
0.00334,0,0,0,0
0.00335,0,0,0,0
0.00336,0,0,0,0
0.00337,0,0,0,0
0.00338,0,0,0,0
0.00339,0,0,0,0
0.0034,0,0,0,0
0.00341,0,0,0,0
0.00342,0,0,0,0
0.00343,0,0,0,0
0.00344,0,0,0,0
0.00345,0,0,0,0
0.00346,0,0,0,0
0.00347,0,0,0,0
0.00348,0,0,0,0
0.00349,0,0,0,0
0.0035,0,0,0,0
0.00351,0,0,0,0
0.00352,0,0,0,0
0.00353,0,0,0,0
0.00354,0,0,0,0
0.00355,0,0,0,0
0.00356,0,0,0,0
0.00357,0,0,0,0
0.00358,0,0,0,0
0.00359,0,0,0,0
0.0036,0,0,0,0
0.00361,0,0,0,0
0.00362,0,0,0,0
0.00363,0,0,0,0
0.00364,0,0,0,0
0.00365,0,0,0,0
0.00366,0,0,0,0
0.00367,0,0,0,0
0.00368,0,0,0,0
0.00369,0,0,0,0
0.0037,0,0,0,0
0.00371,0,0,0,0
0.00372,0,0,0,0
0.00373,0,0,0,0
0.00374,0,0,0,0
0.00375,0,0,0,0
0.00376,0,0,0,0
0.00377,0,0,0,0
0.00378,0,0,0,0
0.00379,0,0,0,0
0.0038,0,0,0,0
0.00381,0,0,0,0
0.00382,0,0,0,0
0.00383,0,0,0,0
0.00384,0,0,0,0
0.00385,0,0,0,0
0.00386,0,0,0,0
0.00387,0,0,0,0
0.00388,0,0,0,0
0.00389,0,0,0,0
0.0039,0,0,0,0
0.00391,0,0,0,0
0.00392,0,0,0,0
0.00393,0,0,0,0
0.00394,0,0,0,0
0.00395,0,0,0,0
0.00396,0,0,0,0
0.00397,0,0,0,0
0.00398,0,0,0,0
0.00399,0,0,0,0
0.004,0,0,0,0
0.00401,0,0,0,0
0.00402,0,0,0,0
0.00403,0,0,0,0
0.00404,0,0,0,0
0.00405,0,0,0,0
0.00406,0,0,0,0
0.00407,0,0,0,0
0.00408,0,0,0,0
0.00409,0,0,0,0
0.0041,0,0,0,0
0.00411,0,0,0,0
0.00412,0,0,0,0
0.00413,0,0,0,0
0.00414,0,0,0,0
0.00415,0,0,0,0
0.00416,0,0,0,0
0.00417,0,0,0,0
0.00418,0,0,0,0
0.00419,0,0,0,0
0.0042,0,0,0,0
0.00421,0,0,0,0
0.00422,0,0,0,0
0.00423,0,0,0,0
0.00424,0,0,0,0
0.00425,0,0,0,0
0.00426,0,0,0,0
0.00427,0,0,0,0
0.00428,0,0,0,0
0.00429,0,0,0,0
0.0043,0,0,0,0
0.00431,0,0,0,0
0.00432,0,0,0,0
0.00433,0,0,0,0
0.00434,0,0,0,0
0.00435,0,0,0,0
0.00436,0,0,0,0
0.00437,0,0,0,0
0.00438,0,0,0,0
0.00439,0,0,0,0
0.0044,0,0,0,0
0.00441,0,0,0,0
0.00442,0,0,0,0
0.00443,0,0,0,0
0.00444,0,0,0,0
0.00445,0,0,0,0
0.00446,0,0,0,0
0.00447,0,0,0,0
0.00448,0,0,0,0
0.00449,0,0,0,0
0.0045,0,0,0,0
0.00451,0,0,0,0
0.00452,0,0,0,0
0.00453,0,0,0,0
0.00454,0,0,0,0
0.00455,0,0,0,0
0.00456,0,0,0,0
0.00457,0,0,0,0
0.00458,0,0,0,0
0.00459,0,0,0,0
0.0046,0,0,0,0
0.00461,0,0,0,0
0.00462,0,0,0,0
0.00463,0,0,0,0
0.00464,0,0,0,0
0.00465,0,0,0,0
0.00466,0,0,0,0
0.00467,0,0,0,0
0.00468,0,0,0,0
0.00469,0,0,0,0
0.0047,0,0,0,0
0.00471,0,0,0,0
0.00472,0,0,0,0
0.00473,0,0,0,0
0.00474,0,0,0,0
0.00475,0,0,0,0
0.00476,0,0,0,0
0.00477,0,0,0,0
0.00478,0,0,0,0
0.00479,0,0,0,0
0.0048,0,0,0,0
0.00481,0,0,0,0
0.00482,0,0,0,0
0.00483,0,0,0,0
0.00484,0,0,0,0
0.00485,0,0,0,0
0.00486,0,0,0,0
0.00487,0,0,0,0
0.00488,0,0,0,0
0.00489,0,0,0,0
0.0049,0,0,0,0
0.00491,0,0,0,0
0.00492,0,0,0,0
0.00493,0,0,0,0
0.00494,0,0,0,0
0.00495,0,0,0,0
0.00496,0,0,0,0
0.00497,0,0,0,0
0.00498,0,0,0,0
0.00499,0,0,0,0
0.005,0,0,0,0
0.00501,0,0,0,0
0.00502,0,0,0,0
0.00503,0,0,0,0
0.00504,0,0,0,0
0.00505,0,0,0,0
0.00506,0,0,0,0
0.00507,0,0,0,0
0.00508,0,0,0,0
0.00509,0,0,0,0
0.0051,0,0,0,0
0.00511,0,0,0,0
0.00512,0,0,0,0
0.00513,0,0,0,0
0.00514,0,0,0,0
0.00515,0,0,0,0
0.00516,0,0,0,0
0.00517,0,0,0,0
0.00518,0,0,0,0
0.00519,0,0,0,0
0.0052,0,0,0,0
0.00521,0,0,0,0
0.00522,0,0,0,0
0.00523,0,0,0,0
0.00524,0,0,0,0
0.00525,0,0,0,0
0.00526,0,0,0,0
0.00527,0,0,0,0
0.00528,0,0,0,0
0.00529,0,0,0,0
0.0053,0,0,0,0
0.00531,0,0,0,0
0.00532,0,0,0,0
0.00533,0,0,0,0
0.00534,0,0,0,0
0.00535,0,0,0,0
0.00536,0,0,0,0
0.00537,0,0,0,0
0.00538,0,0,0,0
0.00539,0,0,0,0
0.0054,0,0,0,0
0.00541,0,0,0,0
0.00542,0,0,0,0
0.00543,0,0,0,0
0.00544,0,0,0,0
0.00545,0,0,0,0
0.00546,0,0,0,0
0.00547,0,0,0,0
0.00548,0,0,0,0
0.00549,0,0,0,0
0.0055,0,0,0,0
0.00551,0,0,0,0
0.00552,0,0,0,0
0.00553,0,0,0,0
0.00554,0,0,0,0
0.00555,0,0,0,0
0.00556,0,0,0,0
0.00557,0,0,0,0
0.00558,0,0,0,0
0.00559,0,0,0,0
0.0056,0,0,0,0
0.00561,0,0,0,0
0.00562,0,0,0,0
0.00563,0,0,0,0
0.00564,0,0,0,0
0.00565,0,0,0,0
0.00566,0,0,0,0
0.00567,0,0,0,0
0.00568,0,0,0,0
0.00569,0,0,0,0
0.0057,0,0,0,0
0.00571,0,0,0,0
0.00572,0,0,0,0
0.00573,0,0,0,0
0.00574,0,0,0,0
0.00575,0,0,0,0
0.00576,0,0,0,0
0.00577,0,0,0,0
0.00578,0,0,0,0
0.00579,0,0,0,0
0.0058,0,0,0,0
0.00581,0,0,0,0
0.00582,0,0,0,0
0.00583,0,0,0,0
0.00584,0,0,0,0
0.00585,0,0,0,0
0.00586,0,0,0,0
0.00587,0,0,0,0
0.00588,0,0,0,0
0.00589,0,0,0,0
0.0059,0,0,0,0
0.00591,0,0,0,0
0.00592,0,0,0,0
0.00593,0,0,0,0
0.00594,0,0,0,0
0.00595,0,0,0,0
0.00596,0,0,0,0
0.00597,0,0,0,0
0.00598,0,0,0,0
0.00599,0,0,0,0
0.006,0,0,0,0
0.00601,0,0,0,0
0.00602,0,0,0,0
0.00603,0,0,0,0
0.00604,0,0,0,0
0.00605,0,0,0,0
0.00606,0,0,0,0
0.00607,0,0,0,0
0.00608,0,0,0,0
0.00609,0,0,0,0
0.0061,0,0,0,0
0.00611,0,0,0,0
0.00612,0,0,0,0
0.00613,0,0,0,0
0.00614,0,0,0,0
0.00615,0,0,0,0
0.00616,0,0,0,0
0.00617,0,0,0,0
0.00618,0,0,0,0
0.00619,0,0,0,0
0.0062,0,0,0,0
0.00621,0,0,0,0
0.00622,0,0,0,0
0.00623,0,0,0,0
0.00624,0,0,0,0
0.00625,0,0,0,0
0.00626,0,0,0,0
0.00627,0,0,0,0
0.00628,0,0,0,0
0.00629,0,0,0,0
0.0063,0,0,0,0
0.00631,0,0,0,0
0.00632,0,0,0,0
0.00633,0,0,0,0
0.00634,0,0,0,0
0.00635,0,0,0,0
0.00636,0,0,0,0
0.00637,0,0,0,0
0.00638,0,0,0,0
0.00639,0,0,0,0
0.0064,0,0,0,0
0.00641,0,0,0,0
0.00642,0,0,0,0
0.00643,0,0,0,0
0.00644,0,0,0,0
0.00645,0,0,0,0
0.00646,0,0,0,0
0.00647,0,0,0,0
0.00648,0,0,0,0
0.00649,0,0,0,0
0.0065,0,0,0,0
0.00651,0,0,0,0
0.00652,0,0,0,0
0.00653,0,0,0,0
0.00654,0,0,0,0
0.00655,0,0,0,0
0.00656,0,0,0,0
0.00657,0,0,0,0
0.00658,0,0,0,0
0.00659,0,0,0,0
0.0066,0,0,0,0
0.00661,0,0,0,0
0.00662,0,0,0,0
0.00663,0,0,0,0
0.00664,0,0,0,0
0.00665,0,0,0,0
0.00666,0,0,0,0
0.00667,0,0,0,0
0.00668,0,0,0,0
0.00669,0,0,0,0
0.0067,0,0,0,0
0.00671,0,0,0,0
0.00672,0,0,0,0
0.00673,0,0,0,0
0.00674,0,0,0,0
0.00675,0,0,0,0
0.00676,0,0,0,0
0.00677,0,0,0,0
0.00678,0,0,0,0
0.00679,0,0,0,0
0.0068,0,0,0,0
0.00681,0,0,0,0
0.00682,0,0,0,0
0.00683,0,0,0,0
0.00684,0,0,0,0
0.00685,0,0,0,0
0.00686,0,0,0,0
0.00687,0,0,0,0
0.00688,0,0,0,0
0.00689,0,0,0,0
0.0069,0,0,0,0
0.00691,0,0,0,0
0.00692,0,0,0,0
0.00693,0,0,0,0
0.00694,0,0,0,0
0.00695,0,0,0,0
0.00696,0,0,0,0
0.00697,0,0,0,0
0.00698,0,0,0,0
0.00699,0,0,0,0
0.007,0,0,0,0
0.00701,0,0,0,0
0.00702,0,0,0,0
0.00703,0,0,0,0
0.00704,0,0,0,0
0.00705,0,0,0,0
0.00706,0,0,0,0
0.00707,0,0,0,0
0.00708,0,0,0,0
0.00709,0,0,0,0
0.0071,0,0,0,0
0.00711,0,0,0,0
0.00712,0,0,0,0
0.00713,0,0,0,0
0.00714,0,0,0,0
0.00715,0,0,0,0
0.00716,0,0,0,0
0.00717,0,0,0,0
0.00718,0,0,0,0
0.00719,0,0,0,0
0.0072,0,0,0,0
0.00721,0,0,0,0
0.00722,0,0,0,0
0.00723,0,0,0,0
0.00724,0,0,0,0
0.00725,0,0,0,0
0.00726,0,0,0,0
0.00727,0,0,0,0
0.00728,0,0,0,0
0.00729,0,0,0,0
0.0073,0,0,0,0
0.00731,0,0,0,0
0.00732,0,0,0,0
0.00733,0,0,0,0
0.00734,0,0,0,0
0.00735,0,0,0,0
0.00736,0,0,0,0
0.00737,0,0,0,0
0.00738,0,0,0,0
0.00739,0,0,0,0
0.0074,0,0,0,0
0.00741,0,0,0,0
0.00742,0,0,0,0
0.00743,0,0,0,0
0.00744,0,0,0,0
0.00745,0,0,0,0
0.00746,0,0,0,0
0.00747,0,0,0,0
0.00748,0,0,0,0
0.00749,0,0,0,0
0.0075,0,0,0,0
0.00751,0,0,0,0
0.00752,0,0,0,0
0.00753,0,0,0,0
0.00754,0,0,0,0
0.00755,0,0,0,0
0.00756,0,0,0,0
0.00757,0,0,0,0
0.00758,0,0,0,0
0.00759,0,0,0,0
0.0076,0,0,0,0
0.00761,0,0,0,0
0.00762,0,0,0,0
0.00763,0,0,0,0
0.00764,0,0,0,0
0.00765,0,0,0,0
0.00766,0,0,0,0
0.00767,0,0,0,0
0.00768,0,0,0,0
0.00769,0,0,0,0
0.0077,0,0,0,0
0.00771,0,0,0,0
0.00772,0,0,0,0
0.00773,0,0,0,0
0.00774,0,0,0,0
0.00775,0,0,0,0
0.00776,0,0,0,0
0.00777,0,0,0,0
0.00778,0,0,0,0
0.00779,0,0,0,0
0.0078,0,0,0,0
0.00781,0,0,0,0
0.00782,0,0,0,0
0.00783,0,0,0,0
0.00784,0,0,0,0
0.00785,0,0,0,0
0.00786,0,0,0,0
0.00787,0,0,0,0
0.00788,0,0,0,0
0.00789,0,0,0,0
0.0079,0,0,0,0
0.00791,0,0,0,0
0.00792,0,0,0,0
0.00793,0,0,0,0
0.00794,0,0,0,0
0.00795,0,0,0,0
0.00796,0,0,0,0
0.00797,0,0,0,0
0.00798,0,0,0,0
0.00799,0,0,0,0
0.008,0,0,0,0
0.00801,0,0,0,0
0.00802,0,0,0,0
0.00803,0,0,0,0
0.00804,0,0,0,0
0.00805,0,0,0,0
0.00806,0,0,0,0
0.00807,0,0,0,0
0.00808,0,0,0,0
0.00809,0,0,0,0
0.0081,0,0,0,0
0.00811,0,0,0,0
0.00812,0,0,0,0
0.00813,0,0,0,0
0.00814,0,0,0,0
0.00815,0,0,0,0
0.00816,0,0,0,0
0.00817,0,0,0,0
0.00818,0,0,0,0
0.00819,0,0,0,0
0.0082,0,0,0,0
0.00821,0,0,0,0
0.00822,0,0,0,0
0.00823,0,0,0,0
0.00824,0,0,0,0
0.00825,0,0,0,0
0.00826,0,0,0,0
0.00827,0,0,0,0
0.00828,0,0,0,0
0.00829,0,0,0,0
0.0083,0,0,0,0
0.00831,0,0,0,0
0.00832,0,0,0,0
0.00833,0,0,0,0
0.00834,0,0,0,0
0.00835,0,0,0,0
0.00836,0,0,0,0
0.00837,0,0,0,0
0.00838,0,0,0,0
0.00839,0,0,0,0
0.0084,0,0,0,0
0.00841,0,0,0,0
0.00842,0,0,0,0
0.00843,0,0,0,0
0.00844,0,0,0,0
0.00845,0,0,0,0
0.00846,0,0,0,0
0.00847,0,0,0,0
0.00848,0,0,0,0
0.00849,0,0,0,0
0.0085,0,0,0,0
0.00851,0,0,0,0
0.00852,0,0,0,0
0.00853,0,0,0,0
0.00854,0,0,0,0
0.00855,0,0,0,0
0.00856,0,0,0,0
0.00857,0,0,0,0
0.00858,0,0,0,0
0.00859,0,0,0,0
0.0086,0,0,0,0
0.00861,0,0,0,0
0.00862,0,0,0,0
0.00863,0,0,0,0
0.00864,0,0,0,0
0.00865,0,0,0,0
0.00866,0,0,0,0
0.00867,0,0,0,0
0.00868,0,0,0,0
0.00869,0,0,0,0
0.0087,0,0,0,0
0.00871,0,0,0,0
0.00872,0,0,0,0
0.00873,0,0,0,0
0.00874,0,0,0,0
0.00875,0,0,0,0
0.00876,0,0,0,0
0.00877,0,0,0,0
0.00878,0,0,0,0
0.00879,0,0,0,0
0.0088,0,0,0,0
0.00881,0,0,0,0
0.00882,0,0,0,0
0.00883,0,0,0,0
0.00884,0,0,0,0
0.00885,0,0,0,0
0.00886,0,0,0,0
0.00887,0,0,0,0
0.00888,0,0,0,0
0.00889,0,0,0,0
0.0089,0,0,0,0
0.00891,0,0,0,0
0.00892,0,0,0,0
0.00893,0,0,0,0
0.00894,0,0,0,0
0.00895,0,0,0,0
0.00896,0,0,0,0
0.00897,0,0,0,0
0.00898,0,0,0,0
0.00899,0,0,0,0
0.009,0,0,0,0
0.00901,0,0,0,0
0.00902,0,0,0,0
0.00903,0,0,0,0
0.00904,0,0,0,0
0.00905,0,0,0,0
0.00906,0,0,0,0
0.00907,0,0,0,0
0.00908,0,0,0,0
0.00909,0,0,0,0
0.0091,0,0,0,0
0.00911,0,0,0,0
0.00912,0,0,0,0
0.00913,0,0,0,0
0.00914,0,0,0,0
0.00915,0,0,0,0
0.00916,0,0,0,0
0.00917,0,0,0,0
0.00918,0,0,0,0
0.00919,0,0,0,0
0.0092,0,0,0,0
0.00921,0,0,0,0
0.00922,0,0,0,0
0.00923,0,0,0,0
0.00924,0,0,0,0
0.00925,0,0,0,0
0.00926,0,0,0,0
0.00927,0,0,0,0
0.00928,0,0,0,0
0.00929,0,0,0,0
0.0093,0,0,0,0
0.00931,0,0,0,0
0.00932,0,0,0,0
0.00933,0,0,0,0
0.00934,0,0,0,0
0.00935,0,0,0,0
0.00936,0,0,0,0
0.00937,0,0,0,0
0.00938,0,0,0,0
0.00939,0,0,0,0
0.0094,0,0,0,0
0.00941,0,0,0,0
0.00942,0,0,0,0
0.00943,0,0,0,0
0.00944,0,0,0,0
0.00945,0,0,0,0
0.00946,0,0,0,0
0.00947,0,0,0,0
0.00948,0,0,0,0
0.00949,0,0,0,0
0.0095,0,0,0,0
0.00951,0,0,0,0
0.00952,0,0,0,0
0.00953,0,0,0,0
0.00954,0,0,0,0
0.00955,0,0,0,0
0.00956,0,0,0,0
0.00957,0,0,0,0
0.00958,0,0,0,0
0.00959,0,0,0,0
0.0096,0,0,0,0
0.00961,0,0,0,0
0.00962,0,0,0,0
0.00963,0,0,0,0
0.00964,0,0,0,0
0.00965,0,0,0,0
0.00966,0,0,0,0
0.00967,0,0,0,0
0.00968,0,0,0,0
0.00969,0,0,0,0
0.0097,0,0,0,0
0.00971,0,0,0,0
0.00972,0,0,0,0
0.00973,0,0,0,0
0.00974,0,0,0,0
0.00975,0,0,0,0
0.00976,0,0,0,0
0.00977,0,0,0,0
0.00978,0,0,0,0
0.00979,0,0,0,0
0.0098,0,0,0,0
0.00981,0,0,0,0
0.00982,0,0,0,0
0.00983,0,0,0,0
0.00984,0,0,0,0
0.00985,0,0,0,0
0.00986,0,0,0,0
0.00987,0,0,0,0
0.00988,0,0,0,0
0.00989,0,0,0,0
0.0099,0,0,0,0
0.00991,0,0,0,0
0.00992,0,0,0,0
0.00993,0,0,0,0
0.00994,0,0,0,0
0.00995,0,0,0,0
0.00996,0,0,0,0
0.00997,0,0,0,0
0.00998,0,0,0,0
0.00999,0,0,0,0
0.01,0,0,12,0
0.01001,0.0533083030021948,0.191235048546558,12,11.7278266604829
0.01002,0.0528183252544432,0.433244026189449,12,11.6200315559775
0.01003,0.0517399297651969,0.670901592543898,12,11.3827845483433
0.01004,0.0506768960113738,0.903683010395513,12,11.1489171225022
0.01005,0.0496356274704244,1.13168149690769,12,10.9198380434934
0.01006,0.0486157532288262,1.35499524883485,12,10.6954657103418
0.01007,0.0476168345596253,1.57372052355869,12,10.4757036031176
0.01008,0.0466384408938653,1.78795160152827,12,10.2604569966504
0.01009,0.0456801504998576,1.99778082600143,12,10.0496331099687
0.0101,0.044741550311218,2.20329864283873,12,9.84314106846796
0.01011,0.0438222357489276,2.40459363948954,12,9.64089186476406
0.01012,0.0429218105469423,2.60175258317728,12,9.4427983203273
0.01013,0.0420398865813844,2.79486045829995,12,9.24877504790457
0.01014,0.0411760837032438,2.9840005030623,12,9.05873841471363
0.01015,0.0403300295745161,3.16925424535517,12,8.87260650639354
0.01016,0.0395013595077089,3.35070153789778,12,8.69029909169595
0.01017,0.0386897163086443,3.52842059265779,12,8.51173758790174
0.01018,0.0378947501224926,3.70248801456419,12,8.33684502694837
0.01019,0.0371161182829689,3.87297883452753,12,8.16554602225316
0.0102,0.0363534851646285,4.03996654178157,12,7.99776673621828
0.01021,0.0356065220381972,4.20352311556047,12,7.83343484840338
0.01022,0.034874906928874,4.36371905612512,12,7.67247952435229
0.01023,0.0341583244775458,4.52062341515188,12,7.51483138506008
0.01024,0.033456465804853,4.67430382549701,12,7.36042247706766
0.01025,0.0327690283780488,4.82482653034945,12,7.20918624317073
0.01026,0.0320957158805939,4.97225641178465,12,7.06105749373066
0.01027,0.0314362380844307,5.11665701873164,12,6.91597237857476
0.01028,0.0307903107248819,5.25809059436554,12,6.77386835947402
